True,974.0
True,662.0
True,1149.0
True,1638.0
True,1082.0
True,870.0
True,585.0
True,1537.0
True,940.0
NoResp,1999.0
True,563.0
NoResp,1999.0
True,602.0
True,582.0
True,1198.0
True,1685.0
True,757.0
True,1548.0
True,1578.0
True,577.0
True,1820.0
True,1109.0
True,580.0
True,681.0
True,1810.0
True,1181.0
True,570.0
True,600.0
True,883.0
True,1699.0
True,582.0
True,1819.0
NoResp,1999.0
True,596.0
True,846.0
True,1878.0
True,922.0
True,1175.0
True,1055.0
True,1348.0
True,957.0
True,767.0
True,1329.0
True,1110.0
NoResp,1999.0
True,944.0
True,943.0
True,601.0
True,938.0
NoResp,1999.0
